epidemic_level,area_name,date,lng,lat,addr,id
未知,黄浦区,2022-05-25,121.48954964372409,31.214562235521488,上海市黄浦区,65
未知,静安区,2022-05-25,121.47208108860583,31.248577856432536,上海市静安区政府北站街道办事处(国庆路),66
未知,浦东新区,2022-05-25,121.50470528891833,31.15298249962539,上海市浦东新区,67
未知,奉贤区,2022-05-25,121.58353978415177,30.932062578640213,上海市奉贤区,68
未知,浦东新区,2022-05-25,121.73950294129074,30.97442693478698,上海市浦东新区,69
未知,浦东新区,2022-05-25,121.76193069152018,31.111088883969796,上海市浦东新区,70
未知,青浦区,2022-05-25,121.05417557043764,31.007861470661876,上海市青浦区,71
未知,浦东新区,2022-05-25,121.58240373145075,31.34718743861121,上海市浦东新区,72
未知,崇明区,2022-05-25,121.6960342957871,31.39832545880102,上海市崇明区,73
未知,青浦区,2022-05-25,121.18002564312053,31.208763186629344,上海市青浦区,74
