value,frequency,pdf,cdf
382,1,0.00015248551387618176,0.9585239402256758
385,1,0.00015248551387618176,0.9586764257395519
387,1,0.00015248551387618176,0.9588289112534281
388,2,0.0003049710277523635,0.9591338822811805
390,2,0.0003049710277523635,0.9594388533089329
394,1,0.00015248551387618176,0.959591338822809
397,1,0.00015248551387618176,0.9597438243366851
398,2,0.0003049710277523635,0.9600487953644375
406,1,0.00015248551387618176,0.9602012808783137
409,1,0.00015248551387618176,0.9603537663921898
410,1,0.00015248551387618176,0.960506251906066
416,1,0.00015248551387618176,0.9606587374199421
418,1,0.00015248551387618176,0.9608112229338183
419,1,0.00015248551387618176,0.9609637084476944
422,1,0.00015248551387618176,0.9611161939615706
429,1,0.00015248551387618176,0.9612686794754467
430,1,0.00015248551387618176,0.9614211649893228
431,1,0.00015248551387618176,0.961573650503199
432,2,0.0003049710277523635,0.9618786215309514
433,1,0.00015248551387618176,0.9620311070448275
435,1,0.00015248551387618176,0.9621835925587037
437,1,0.00015248551387618176,0.9623360780725798
440,1,0.00015248551387618176,0.962488563586456
446,1,0.00015248551387618176,0.9626410491003321
449,1,0.00015248551387618176,0.9627935346142082
453,2,0.0003049710277523635,0.9630985056419606
454,1,0.00015248551387618176,0.9632509911558368
455,1,0.00015248551387618176,0.9634034766697129
457,1,0.00015248551387618176,0.9635559621835891
463,1,0.00015248551387618176,0.9637084476974652
464,1,0.00015248551387618176,0.9638609332113414
466,1,0.00015248551387618176,0.9640134187252175
469,1,0.00015248551387618176,0.9641659042390937
472,1,0.00015248551387618176,0.9643183897529698
473,1,0.00015248551387618176,0.9644708752668459
476,1,0.00015248551387618176,0.9646233607807221
478,1,0.00015248551387618176,0.9647758462945982
488,1,0.00015248551387618176,0.9649283318084744
509,1,0.00015248551387618176,0.9650808173223505
511,1,0.00015248551387618176,0.9652333028362267
514,1,0.00015248551387618176,0.9653857883501028
521,1,0.00015248551387618176,0.965538273863979
522,1,0.00015248551387618176,0.9656907593778551
525,1,0.00015248551387618176,0.9658432448917312
526,1,0.00015248551387618176,0.9659957304056074
529,1,0.00015248551387618176,0.9661482159194835
534,1,0.00015248551387618176,0.9663007014333597
544,2,0.0003049710277523635,0.9666056724611121
545,1,0.00015248551387618176,0.9667581579749882
548,1,0.00015248551387618176,0.9669106434888644
551,1,0.00015248551387618176,0.9670631290027405
554,1,0.00015248551387618176,0.9672156145166166
565,1,0.00015248551387618176,0.9673681000304928
567,1,0.00015248551387618176,0.9675205855443689
569,2,0.0003049710277523635,0.9678255565721213
570,1,0.00015248551387618176,0.9679780420859975
573,1,0.00015248551387618176,0.9681305275998736
591,1,0.00015248551387618176,0.9682830131137498
596,1,0.00015248551387618176,0.9684354986276259
597,1,0.00015248551387618176,0.968587984141502
598,1,0.00015248551387618176,0.9687404696553782
605,1,0.00015248551387618176,0.9688929551692543
619,1,0.00015248551387618176,0.9690454406831305
620,1,0.00015248551387618176,0.9691979261970066
623,1,0.00015248551387618176,0.9693504117108828
624,1,0.00015248551387618176,0.9695028972247589
639,1,0.00015248551387618176,0.969655382738635
646,2,0.0003049710277523635,0.9699603537663875
673,1,0.00015248551387618176,0.9701128392802636
676,1,0.00015248551387618176,0.9702653247941397
677,1,0.00015248551387618176,0.9704178103080159
690,1,0.00015248551387618176,0.970570295821892
704,1,0.00015248551387618176,0.9707227813357682
705,1,0.00015248551387618176,0.9708752668496443
707,1,0.00015248551387618176,0.9710277523635205
708,1,0.00015248551387618176,0.9711802378773966
709,1,0.00015248551387618176,0.9713327233912727
717,1,0.00015248551387618176,0.9714852089051489
721,1,0.00015248551387618176,0.971637694419025
723,1,0.00015248551387618176,0.9717901799329012
725,2,0.0003049710277523635,0.9720951509606536
733,1,0.00015248551387618176,0.9722476364745297
736,1,0.00015248551387618176,0.9724001219884059
741,1,0.00015248551387618176,0.972552607502282
744,1,0.00015248551387618176,0.9727050930161582
745,2,0.0003049710277523635,0.9730100640439105
750,1,0.00015248551387618176,0.9731625495577867
751,1,0.00015248551387618176,0.9733150350716628
757,1,0.00015248551387618176,0.973467520585539
767,1,0.00015248551387618176,0.9736200060994151
771,2,0.0003049710277523635,0.9739249771271675
773,1,0.00015248551387618176,0.9740774626410437
775,1,0.00015248551387618176,0.9742299481549198
