route_a,route_b
北京商超B个护清洁仓1号库,022F005
上海商超A休闲食品仓6号库,021Y072
上海百货B家居日用仓2号库,021Y072
北京图书音像仓1号库,316F011
济南商超B个护清洁仓3号库,316F021
西安药品仓1号库,029F270
东莞亚一综合B仓2号库,769F007
769F007,769F001
512F012,760F001
沈阳商超A个护清洁仓3号库,024F004
广州亚一商超A个护清洁仓4号库,769F007
769F007,755F022
755F022,SZX
SZX,WUX
WUX,512F078
512F078,021F008
上海百货B家居日用仓6号库,512F004
杭州斐乐KA仓1号库,057F021
广州百货A车旅用品仓1号库（新）,757F042
757F042,512F004
北京商超A个护清洁仓4号库,010F022
上海公共平台仓7号库,021Y072
广州服装仓1号库,020F242
512F012,021Y072
上海商超B米面粮油仓1号库,551F002
551F002,551F011
551F011,512F008
上海亚一商超A个护清洁仓8号库,512F008
武汉服装仓1号库,021Y072
北京商超B母婴玩具仓2号库,316F003
上海亚一3CA电脑办公仓1号库,021Y072
西安医疗器械仓1号库,029F678
010F017,022F016
022F016,PKX
PKX,WUX
上海百货B家居日用仓7号库,021Y072
武汉服装仓1号库,027F002
广州服装仓2号库,020F242
广汉药品仓1号库,028F020
武汉亚一3CA电脑办公仓1号库,027F010
成都服装仓2号库（新）,028F020
广州综合仓1号库,757F042
广州3CB电脑办公仓4号库,769F001
,760F001
北京公共平台仓22号库,022F022
022F022,022F002
,010F172
武汉百货B家具建材仓1号库,027F006
027F006,027F074
北京服装仓8号库,010F172
广州商超B牛奶水饮仓1号库（新）,757F003
广州百货B家居日用仓3号库,020F242
020F041,020F242
沈阳公共平台仓3号库,024F043
武汉服装仓1号库,027F074
027F074,021Y072
上海百货B家居日用仓1号库,021Y072
德州百货B家居日用仓3号库,316F021
武汉亚一商超A个护清洁仓3号库,027F060
上海商超A休闲食品仓3号库,021Y072
德州百货B家居日用仓8号库,316F021
北京百货B家居日用仓3号库,316F011
020F041,755F022
上海亚一百货B家具建材仓2号库,512F008
郑州新郑保税综合仓1号库,021Y072
512F065,512F012
德州商超B宠物园艺仓1号库,316F021
北京百货B家具建材仓1号库,316F011
上海亚一公共平台仓5号库,512F008
022F002,316F011
北京商超B个护清洁仓4号库,022F033
022F033,316F011
北京百货A仓1号库（临时）,010F013
512F065,512F008
上海商超B牛奶水饮仓1号库（临时）,021F008
北京百货B家居日用仓1号库,022F022
755F035,512F004
北京百货A仓2号库,010F069
上海商超B母婴玩具仓2号库（临时）,021Y072
512F004,512F055
上海商超B米面粮油仓3号库,021Y072
北京商超A个护清洁仓2号库,316F011
上海商超B母婴玩具仓3号库,512F055
深圳兴围营业部,769F007
北京百货B车旅用品仓1号库,021Y072
北京3CB电脑办公仓1号库,316F011
成都百货B仓1号库,028F029
广州亚一综合B仓6号库,769F007
济宁FDC仓B1库,537F001
537F001,539F001
539F001,512F055
010F013,551F011
广州商超B母婴玩具仓5号库,769F007
上海商超B牛奶水饮仓4号库,021Y072
021F015,021Y072
武汉百货B家居日用仓2号库,027F074
755F009,512F004
沈阳亚一商超A个护清洁仓3号库,024F004
苏州昆山分拣中心,021F008
北京服装仓7号库,010F172
上海亚一商超B米面粮油仓2号库,512F008
021F005,057F021
广州博展分拣中心,769F001
北京商超A休闲食品仓1号库,022F021
上海生鲜仓4号库,021Y072
上海亚一3CA电脑办公仓2号库,512F008
杭州亚一生活小电仓1号库,057F021
北京公共平台仓11号库,316F030
316F030,316F011
沈阳亚一3CA仓1号库,021Y072
上海商超A个护清洁仓7号库,021Y072
北京商超A个护清洁仓6号库,316F016
成都亚一商超A个护清洁仓7号库,021Y072
德州服装仓1号库,316F021
德州百货B家居日用仓1号库,316F021
德州商超B个护清洁仓3号库,316F021
济南百货B家具建材仓1号库,316F021
中山分拣中心,020F242
济南厨房小电仓2号库,316F021
西安商超B仓1号库,029F270
上海生鲜仓2号库,021Y072
北京商超A个护清洁仓5号库,316F011
西安商超B宠物园艺仓1号库,029F346
029F346,512F055
上海商超B母婴玩具仓2号库,021Y072
上海共享仓2号库,021Y072
广州黄埔保税综合仓1号库,020F242
上海商超A休闲食品仓4号库,021Y072
沈阳亚一百货B家居日用仓1号库,024F043
上海商超B米面粮油仓2号库,021Y072
昆山药品仓1号库,512F065
上海蒙牛商超协同仓,021Y072
上海商超A个护清洁仓6号库,021Y072
