route_a,route_b
西安亚一3CA仓3号库,029F678
029F678,029F270
029F270,571F099
512F008,021F053
021F053,021Y072
上海百货B家居日用仓1号库,021F053
上海商超B牛奶水饮仓6号库,021F053
上海商超B母婴玩具仓2号库,021F053
上海商超B牛奶水饮仓T1库,021F008
北京生活小电仓1号库,022F005
022F005,010F172
郑州新郑保税综合仓1号库,371F027
371F027,027F060
昆山药品仓1号库,021F053
上海曼伦商超协同仓,021F008
北京服装仓7号库,010F172
上海商超A个护清洁仓7号库,021F053
上海商超B牛奶水饮仓4号库,021F008
上海医疗器械仓1号库（新）,021F053
上海公共平台仓7号库,021F053
上海亚一商超A休闲食品仓2号库,021Y072
上海服装仓1号库,021Y072
北京百货B家具建材仓3号库,022F022
022F022,010F172
广州百货B家居日用仓1号库,757F003
上海商超A休闲食品仓2号库,021F053
上海商超B牛奶水饮仓5号库,021F053
武汉百货A家居日用仓1号库,027F074
上海商超A个护清洁仓10号库,021F053
上海亚一服装仓7号库,512F008
上海百货B家具建材仓1号库,021F008
上海商超B牛奶水饮仓1号库,021F008
022F022,316F011
武汉商超A休闲食品仓1号库,027F006
上海公共平台仓8号库,021F008
广州百货B家居日用仓5号库,757F003
上海亚一图书音像仓1号库,021Y072
上海生鲜仓4号库（新）,021F008
上海亚一服装仓4号库,021F015
371F027,512F012
021F005,021F009
北京药品仓2号库,010F013
010F013,316F011
上海百货B家居日用仓2号库,021F053
上海商超B米面粮油仓1号库,021F053
上海商超B宠物园艺仓2号库,021F053
上海公共平台仓8号库,021F053
上海商超B母婴玩具仓4号库,021F053
上海商超B宠物园艺仓1号库,021F053
上海商超B母婴玩具仓1号库,021Y072
上海3CA数码通讯仓1号库,021F009
021F009,021Y078
021Y078,021F052
021F052,021F009
上海商超A个护清洁仓6号库,021F053
上海商超B牛奶水饮仓T6号库,021F053
上海医疗器械仓3号库,021F053
上海商超B母婴玩具仓5号库,021F053
上海3CA电脑办公仓3号库,021F053
上海商超A休闲食品仓4号库,021F053
上海商超A个护清洁仓7号库,021Y072
北京百货B家居日用仓2号库,022F022
上海商超B牛奶水饮仓4号库,021F053
上海商超B个护清洁仓2号库,021F053
上海商超B牛奶水饮仓3号库,021F053
512F055,021F053
上海3CA数码通讯仓1号库,021F053
上海商超B母婴玩具仓1号库,021F053
上海商超A休闲食品仓6号库,021F053
上海商超B牛奶水饮仓1号库,021F053
上海外高桥保税综合仓1号库,021F005
北京商超A个护清洁仓4号库,010F022
010F172,316F011
广州百货B家居日用仓6号库,757F042
010F172,021Y072
广州百货B家居日用仓1号库,757F042
北京服装仓3号库,010F172
北京商超A休闲食品仓4号库,316F003
316F003,316F011
北京服装仓11号库,022F043
022F043,316F011
北京商超A休闲食品仓2号库,022F021
022F021,316F011
北京百货B家具建材仓6号库,022F022
北京商超A个护清洁仓2号库,010F172
769F001,020F008
020F008,769F001
广州综合仓1号库,757F042
上海商超B个护清洁仓T2库,021F008
020F009,021F008
深圳商超B米面粮油仓2号库,021F008
广州商超A个护清洁仓3号库,020F008
上海服装仓6号库,021F008
北京商超B牛奶水饮仓6号库,316F003
广州百货B家居日用仓3号库,020F008
广州商超B牛奶水饮仓2号库,020F008
广州商超B牛奶水饮仓6号库,020F008
西安亚一3CB仓1号库,029F678
029F270,731F001
731F001,021F008
广州服装仓6号库,769F001
广州百货B家居日用仓2号库,021F008
广州商超B米面粮油仓1号库,020F008
广州百货B家居日用仓7号库,020F008
广州商超B米面粮油仓4号库,020F060
广州百货B家居日用仓5号库,757F042
北京公共平台仓7号库,316F016
北京百货B家具建材仓1号库,010F172
上海商超A休闲食品仓2号库,021Y072
深圳商超B个护清洁仓1号库,755F009
755F009,769F001
深圳商超B个护清洁仓1号库,021F008
755F009,021F008
深圳商超B米面粮油仓1号库,021F008
北京商超B母婴玩具仓4号库,010F172
北京服装仓10号库,022F022
上海商超B母婴玩具仓T2号库,021F008
